policy,k,h,H,ell_o,ell_s,C,D,Omega,Lambda,chi,gamma,gamma_real,C_shock,chi_shock_fluid,R,event_fraction,mean_T_tilde,mean_shock_delay,median_shock_delay,q90_shock_delay,q95_shock_delay,q99_shock_delay,ES95_shock_delay,prob_delay_ge_one_window,prob_negative_delay,mean_shock_blocked_fraction,prob_any_shock_block,mean_productive_A_shock,mean_productive_B_shock,mean_architecture_advantage_tilde,diffuse_mean_shock_delay,diffuse_q95_shock_delay,diffuse_ES95_shock_delay,diffuse_prob_negative_delay,q95_resilience_contrast,ES95_resilience_contrast
matched,15,1.0,1.0,0.7,0.7,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,15.145,15.2,-65.81,5.722,11.0,12.34920634920635,0,-11.0,-12.34920634920635
matched,15,1.0,1.0,0.7,0.7,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,21.745,0.035,0.0,0.0,0.0,0.0,0.035,0,0,0.0008333333333333349,0.005,15.138,15.193,-69.825,9.772,16.0,17.865384615384617,0,-16.0,-17.830384615384617
matched,15,1.0,1.0,0.7,0.7,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,23.554,1.844,0.0,12.0,13.0,14.0,13.538461538461538,0,0,0.05066666666666661,0.152,14.889,14.958,-72.458,14.214,21.0,22.774647887323944,0,-8.0,-9.236186348862406
matched,15,1.0,1.0,0.7,0.9,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.608,14.61,-65.558,0.0,0.0,0.0,0,0.0,0.0
matched,15,1.0,1.0,0.7,0.9,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.608,14.61,-66.683,1.125,4.0,4.821782178217822,0,-4.0,-4.821782178217822
matched,15,1.0,1.0,0.7,0.9,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.608,14.61,-71.28,5.722,11.0,12.34920634920635,0,-11.0,-12.34920634920635
matched,15,1.0,1.0,0.7,0.9,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.608,14.61,-75.33,9.772,16.0,17.865384615384617,0,-16.0,-17.865384615384617
matched,15,1.0,1.0,0.7,0.9,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.608,14.61,-79.772,14.214,21.0,22.774647887323944,0,-21.0,-22.774647887323944
matched,15,1.0,1.0,0.7,1.0,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.0,14.0,-67.798,0.0,0.0,0.0,0,0.0,0.0
matched,15,1.0,1.0,0.7,1.0,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.0,14.0,-68.923,1.125,4.0,4.821782178217822,0,-4.0,-4.821782178217822
matched,15,1.0,1.0,0.7,1.0,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.0,14.0,-73.52,5.722,11.0,12.34920634920635,0,-11.0,-12.34920634920635
matched,15,1.0,1.0,0.7,1.0,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.0,14.0,-77.57,9.772,16.0,17.865384615384617,0,-16.0,-17.865384615384617
matched,15,1.0,1.0,0.7,1.0,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,14.0,14.0,-82.012,14.214,21.0,22.774647887323944,0,-21.0,-22.774647887323944
uniform,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,36,0.6,1.8,1.08,1.0,1.0,60,1.08,1000,1,81.234,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.08722222222222221,0.841,22.986,23.128,-0.564,0.0,0.0,0.0,0,0.0,0.0
