policy,Omega,k,h,ell_s,regime,ell_star,theory_architecture_advantage,rmst_architecture_advantage,prediction_favors_concentration,observed_favors_concentration,sign_match,error_observed_minus_theory
uniform,1.5,9,0.6,0.8,competence_rescuable,0.786255657672882,-0.566046460379383,3.394999999999996,1,0,0,3.961046460379379
uniform,1.5,9,0.6,0.9,competence_rescuable,0.786255657672882,-4.23095590890495,-7.6200000000000045,1,1,1,-3.3890440910950543
uniform,1.5,9,0.6,1.0,competence_rescuable,0.786255657672882,-7.2531426824805,-11.63000000000001,1,1,1,-4.37685731751951
uniform,1.5,10,0.666666666666667,0.7,competence_rescuable,0.7203986912965771,0.9833322653685169,26.894999999999996,0,0,1,25.91166773463148
uniform,1.5,10,0.666666666666667,0.8,competence_rescuable,0.7203986912965771,-3.4044750632347105,-1.7150000000000034,1,1,1,1.689475063234707
uniform,1.5,10,0.666666666666667,0.9,competence_rescuable,0.7203986912965771,-6.905913619066271,-10.325000000000003,1,1,1,-3.4190863809337317
uniform,1.5,10,0.666666666666667,1.0,competence_rescuable,0.7203986912965771,-9.76820974139628,-13.730000000000004,1,1,1,-3.961790258603724
uniform,1.5,11,0.733333333333333,0.7,structural_win,0.7,-2.42615093283803,12.935000000000002,1,0,0,15.361150932838033
uniform,1.5,11,0.733333333333333,0.8,structural_win,0.7,-6.51077419267494,-8.670000000000002,1,1,1,-2.159225807325062
uniform,1.5,11,0.733333333333333,0.9,structural_win,0.7,-9.73879099232818,-13.375,1,1,1,-3.6362090076718196
uniform,1.5,11,0.733333333333333,1.0,structural_win,0.7,-12.3553379732539,-16.260000000000005,1,1,1,-3.904662026746106
uniform,1.5,13,0.866666666666667,0.7,structural_win,0.7,-8.97337157441142,-7.445000000000007,1,1,1,1.5283715744114126
uniform,1.5,13,0.866666666666667,0.8,structural_win,0.7,-12.219253535131402,-15.090000000000003,1,1,1,-2.870746464868601
uniform,1.5,13,0.866666666666667,0.9,structural_win,0.7,-14.7519310610914,-18.36,1,1,1,-3.6080689389086
uniform,1.5,13,0.866666666666667,1.0,structural_win,0.7,-16.7833047153363,-21.10000000000001,1,1,1,-4.316695284663709
uniform,1.5,15,1.0,0.7,structural_win,0.7,-13.858214695701498,-15.450000000000003,1,1,1,-1.5917853042985044
uniform,1.5,15,1.0,0.8,structural_win,0.7,-16.311253281583,-19.295,1,1,1,-2.9837467184170023
uniform,1.5,15,1.0,0.9,structural_win,0.7,-93.2193519381508,-44.25500000000001,1,1,1,48.964351938150784
uniform,1.5,15,1.0,1.0,structural_win,0.7,-94.7459947456991,-98.73,1,1,1,-3.984005254300911
