policy,Omega,k,h,H,ell_o,ell_s,C,D,Lambda,chi,regime,ell_star,T_theory_concentrated,T_theory_diffuse,theory_architecture_advantage,R,event_fraction_capacity,event_fraction_free,event_fraction_diffuse,rmst_capacity,rmst_free,rmst_diffuse_capacity,rmst_capacity_penalty,rmst_architecture_advantage,mean_row_capacity_penalty,mean_row_architecture_advantage,mean_T_observed,median_T_observed,q90_T_observed,q95_T_observed,mean_blocked_fraction,prob_any_block,mean_first_block_attempt_conditional,mean_windows_started
matched,0.6,13,0.866666666666667,0.751111111111111,0.7,0.8,60,36,1.0,0.6,structural_win,0.7,22.4602896268552,77.9217094224296,-55.4614197955743,200,1.0,1.0,1.0,24.58,24.46,81.825,0.11999999999999744,-57.245000000000005,0.12,-57.245,24.58,24.0,28.0,30.0,0.012219054406054313,0.235,18.893617021276597,1.0
matched,0.6,13,0.866666666666667,0.751111111111111,0.7,0.9,60,36,1.0,0.6,structural_win,0.7,19.9178236487933,77.9217094224296,-58.003885773636306,200,1.0,1.0,1.0,21.695,21.615,81.825,0.08000000000000185,-60.13,0.08,-60.13,21.695,21.0,24.0,25.049999999999983,0.00998839341013254,0.18,17.22222222222222,1.0
matched,0.6,13,0.866666666666667,0.751111111111111,0.7,1.0,60,36,1.0,0.6,structural_win,0.7,17.8785039691502,77.9217094224296,-60.0432054532794,200,1.0,1.0,1.0,19.125,19.1,81.825,0.02499999999999858,-62.7,0.025,-62.7,19.125,19.0,21.0,21.0,0.007614636888664348,0.145,15.931034482758621,1.0
matched,0.6,15,1.0,1.0,0.7,0.7,60,36,1.0,0.6,structural_win,0.7,19.0634947268045,77.9217094224296,-58.8582146956251,200,1.0,1.0,1.0,21.7,21.7,81.825,0.0,-60.125,0.0,-60.125,21.7,21.5,26.0,27.0,0.0,0.0,nan,1.0
matched,0.6,15,1.0,1.0,0.7,0.8,60,36,1.0,0.6,structural_win,0.7,16.6104561408793,77.9217094224296,-61.3112532815503,200,1.0,1.0,1.0,18.715,18.715,81.825,0.0,-63.11,0.0,-63.11,18.715,18.0,21.0,23.0,0.0,0.0,nan,1.0
matched,0.6,15,1.0,1.0,0.7,0.9,60,36,1.0,0.6,structural_win,0.7,14.7023574843115,77.9217094224296,-63.219351938118095,200,1.0,1.0,1.0,16.335,16.335,81.825,0.0,-65.49000000000001,0.0,-65.49,16.335,16.0,18.0,18.0,0.0,0.0,nan,1.0
matched,0.6,15,1.0,1.0,0.7,1.0,60,36,1.0,0.6,structural_win,0.7,13.1757146767413,77.9217094224296,-64.7459947456882,200,1.0,1.0,1.0,14.0,14.0,81.825,0.0,-67.825,0.0,-67.825,14.0,14.0,14.0,14.0,0.0,0.0,nan,1.0
matched,1.0,4,0.266666666666667,0.0711111111111111,0.7,0.7,60,60,1.0,1.0,structural_win,0.7,71.9831341236204,77.9217094224623,-5.9385752988419,200,1.0,1.0,1.0,82.475,75.525,89.21,6.949999999999989,-6.734999999999999,6.95,-6.735,82.475,82.0,91.0,92.04999999999998,0.08767805955936885,1.0,44.3,2.0
matched,1.0,4,0.266666666666667,0.0711111111111111,0.7,0.8,60,60,1.0,1.0,structural_win,0.7,68.2173651701123,77.9217094224623,-9.70434425234998,200,1.0,1.0,1.0,78.55,71.74,89.21,6.810000000000002,-10.659999999999997,6.81,-10.66,78.55,78.0,86.0,88.0,0.09197711924618207,1.0,44.3,2.0
matched,1.0,4,0.266666666666667,0.0711111111111111,0.7,0.9,60,60,1.0,1.0,structural_win,0.7,65.1692289492348,77.9217094224623,-12.7524804732275,200,1.0,1.0,1.0,75.49,68.52,89.21,6.969999999999999,-13.719999999999999,6.97,-13.72,75.49,75.0,82.0,84.04999999999998,0.09569597259838014,1.0,44.3,2.0
matched,1.0,4,0.266666666666667,0.0711111111111111,0.7,1.0,60,60,1.0,1.0,structural_win,0.7,62.6589890226387,77.9217094224623,-15.2627203998236,200,1.0,1.0,1.0,72.9,66.015,89.21,6.885000000000005,-16.309999999999988,6.885,-16.31,72.9,72.0,79.0,82.04999999999998,0.09908541744046588,1.0,44.3,2.0
matched,1.0,7,0.466666666666667,0.217777777777778,0.7,0.7,60,60,1.0,1.0,structural_win,0.7,59.7786678920784,77.9217094224623,-18.1430415303839,200,1.0,1.0,1.0,69.63,62.93,89.21,6.699999999999996,-19.58,6.7,-19.58,69.63,70.0,76.0,77.04999999999998,0.0987695834362293,0.995,41.527638190954775,1.98
