panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block
C,product,uniform,4,60,60,1.0,0.9,0.81,0.7,9,500,1.0,11.26,11.0,12.0,13.0,0.0,0.0
C,product,uniform,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,59.942,61.0,62.0,62.0,0.6938569710802373,0.998
C,product,uniform,4,60,60,1.0,0.9,0.81,0.9,22,500,1.0,74.374,74.0,75.0,76.0,0.5850868096183126,1.0
C,product,uniform,4,60,60,1.0,1.0,1.0,0.7,9,500,1.0,9.0,9.0,9.0,9.0,0.0,0.0
C,product,uniform,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
C,product,uniform,4,60,60,1.0,1.0,1.0,0.9,22,500,1.0,67.0,67.0,67.0,67.0,0.6716417910447758,1.0
D,assortative,matched,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,54.922,55.0,57.0,57.0,0.0007800002881797953,0.03
D,assortative,matched,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,40.338,40.0,42.0,43.0,0.007769923556759234,0.2
D,assortative,matched,4,60,36,0.6,0.75,0.5625,0.8,14,500,1.0,24.118,24.0,26.0,27.0,0.005245394187549359,0.096
D,assortative,matched,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,17.298,17.0,19.0,19.0,0.009156641604010026,0.144
D,assortative,matched,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
