panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block,T_free_theory,T_theory,delay_theory,first_exhaustion_theory,exact_T_expected,exact_delay_expected,exact_identity_note,T_error
A,product,uniform,4,60,60,1.0,0.75,0.5625,0.8,14,500,1.0,65.112,65.0,66.0,67.0,0.6047315275535858,1.0,23.5651179677689,64.5820933103096,41.0169753425407,18.4615384615385,,,,0.5299066896903923
A,product,uniform,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,59.878,61.0,62.0,62.0,0.6927645811022255,0.996,16.4692194683084,60.229497265379,43.7602777970706,16.2162162162162,,,,-0.3514972653790025
A,product,uniform,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767768,13.1757146767632,-1.36424205265939e-11,15.0,14.0,0.0,h1_uniform_learning_fits_window,0.8242853232368006
A,product,uniform,4,60,90,1.5,0.0,0.0,0.8,14,500,1.0,66.72,64.0,81.0,87.0,0.1757681321850684,0.978,54.3794587231332,54.3794587231605,2.72848410531878e-11,60.0,,,h0_matched_equals_uniform_pathwise,12.340541276839495
A,product,uniform,4,60,90,1.5,0.25,0.0625,0.8,14,500,1.0,89.032,92.0,96.0,97.0,0.410839735295087,1.0,50.6925168637338,90.59715769526,39.9046408315262,34.2857142857143,,,,-1.5651576952599981
A,product,uniform,4,60,90,1.5,0.5,0.25,0.8,14,500,1.0,98.262,98.0,101.0,103.0,0.5685317622098256,1.0,39.6782912489243,97.9878155001788,58.3095242512545,24.0,,,,0.2741844998212031
A,product,uniform,4,60,90,1.5,0.75,0.5625,0.8,14,500,1.0,94.69,95.0,96.0,97.0,0.7202353871952963,1.0,23.5651179677689,94.2262830896652,70.6611651218964,18.4615384615385,,,,0.4637169103347958
A,product,uniform,4,60,90,1.5,0.9,0.81,0.8,14,500,1.0,87.4,91.0,92.0,92.0,0.7825192270547803,0.996,16.4692194683255,90.2135030813971,73.7442836130716,16.2162162162162,,,,-2.8135030813971014
A,product,uniform,4,60,90,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767598,13.1757146767632,3.4106051316484797e-12,15.0,14.0,0.0,h1_uniform_learning_fits_window,0.8242853232368006
A,product,uniform,8,120,72,0.6,0.0,0.0,0.8,14,500,1.0,111.282,111.0,114.0,116.0,0.0038368970812702,0.238,109.3110026055,109.3110026055,0.0,120.0,,,h0_matched_equals_uniform_pathwise,1.970997394500003
A,product,uniform,8,120,72,0.6,0.25,0.0625,0.8,14,500,1.0,117.172,116.0,130.0,133.0,0.1617239796319825,1.0,98.952855553207,113.258383842439,14.3055282892322,43.6363636363636,,,,3.9136161575609947
A,product,uniform,8,120,72,0.6,0.5,0.25,0.8,14,500,1.0,122.616,121.0,147.0,149.0,0.4366951800822742,1.0,68.8886316901426,126.858985547752,57.9703538576098,26.6666666666667,,,,-4.242985547751999
A,product,uniform,8,120,72,0.6,0.75,0.5625,0.8,14,500,1.0,80.69,81.0,82.0,83.0,0.6125626733957165,1.0,27.8683670755527,80.0243579009548,52.1559908254021,19.2,,,,0.6656420990452006
A,product,uniform,8,120,72,0.6,0.9,0.81,0.8,14,500,1.0,73.194,73.0,74.0,74.0,0.7469759601706971,1.0,17.2221995022392,72.7617135461036,55.5395140438644,16.4383561643836,,,,0.43228645389639553
A,product,uniform,8,120,72,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767904,13.1757146767632,-2.72848410531878e-11,15.0,14.0,0.0,h1_uniform_learning_fits_window,0.8242853232368006
